long,lat,primary_fur_color
-73.9653343572865,40.7775286924617,Gray
-73.9584561537421,40.7911211164754,Gray
-73.9792814244424,40.770503194056,Gray
-73.9680833729772,40.7741871025115,NA
-73.9737773613311,50.7673662611015,Gray
-73.9756533763813,40.7733537881363,Cinnamon
-73.9532804650089,40.7934579333341,NA
-73.9765805609072,40.7692807820935,Cinnamon
-73.9527227282134,40.7935061484064,Cinnamon
-73.9623984262936,40.7913900453449,Gray
-73.9563311167069,40.7950901563337,Cinnamon
-73.9563661256875,40.7966823114508,Gray
-73.9538251716292,40.7919360198175,Gray
-73.9594391759139,40.784115697669,Gray
-73.9671419119456,40.7758602486862,Cinnamon
-73.9719111470164,40.7758789855474,Gray
-73.9545214613307,40.7943801121036,Gray
-73.9547959269955,40.7925162926273,Gray
-73.9542990150586,40.7940915300678,Cinnamon
-73.9552035011902,40.7889851896334,Cinnamon
-73.9695348385828,40.7703657361802,Gray
-73.9796470494747,50.7678370925485,Cinnamon
-73.955258162768,50.7958147673603,Gray
-73.9676246014119,50.786355136088,Gray
-73.9690241805398,50.7837967580773,Gray
-73.9580813119325,50.7905538237042,Gray
-73.9746940851342,50.7760966488186,Gray
-73.9730592548116,50.7740879251541,Gray
-73.9702755805141,50.7783547795222,Gray
-73.9716414586381,50.771760114722,Gray
-73.9806718258385,50.7692776896995,Gray
-73.9615516703494,50.7905219388359,Gray
-73.9685227310735,50.776599466588,Gray
-73.954699659637,50.7951308856929,Gray
-73.9672127283283,50.7810666805133,Gray
-73.9688070760806,50.7779688294172,Gray
-73.9593244415072,50.794964729747,Gray
-73.9758128509653,50.7715946097064,Gray
-73.9796985410897,40.7678612835067,Gray
-73.978844141973,40.7696046074378,Cinnamon
-73.9757216124349,40.7754310239649,Cinnamon
-73.9636027664439,40.790075966587,Gray
-73.9580111056675,40.7854339401483,Gray
-73.9639801411692,40.7778921302618,Cinnamon
-73.9696001184129,40.7820810673532,Gray
-73.9719729323923,40.7668318394546,NA
-73.963846339804,40.7834051716226,Cinnamon
-73.9712327308512,40.7748702909218,Cinnamon
-73.980919134781,40.7683772453336,Gray
-73.9604576237503,40.7818120101394,Gray
-73.9733905460282,40.7656337147768,Black
-73.9646597452128,40.7827698220703,Cinnamon
-73.9782603348665,40.7705790257951,Gray
-73.9590992841423,40.793758098573,Gray
-73.9745953710328,40.7728284025195,Gray
-73.9685201626934,40.783329261225,Gray
-73.9702348982803,40.7773295419104,Gray
